DATE,PRCP,SNOW,TMAX,TMIN
2017-09-12,0,0,28,23
2017-10-12,0,0,29,25
2017-11-12,0,0,31,28
2017-12-12,0,0,37,30
2017-13-12,0,0,37,13
2017-14-12,0.27,4.3,21,15
2017-15-12,0,0,25,12
2017-16-12,0.02,0.2,28,16
2017-17-12,0,0,37,25
2017-18-12,0,0,35,28
2017-19-12,0,0,45,32
2017-20-12,0,0,52,37
2017-21-12,0,0,40,27
2017-22-12,0,0,39,29
2017-23-12,0.08,0,41,36
2017-24-12,0.18,0,43,31
2017-25-12,0.06,0.5,37,24
2017-26-12,0,0,24,14
2017-27-12,0,0,21,11
2017-28-12,0,0,16,4
2017-29-12,0,0,15,4
2017-30-12,0.08,1.3,16,8
2017-31-12,0.03,0.3,19,5
2018-01-01,0,0,13,0
2018-02-01,0,0,13,0
2018-03-01,0,0,16,4
2018-04-01,0,0,26,4
2018-05-01,0,0,20,5
2018-06-01,0,0,9,1
2018-07-01,0,0,9,-1
2018-08-01,0,0,22,0
2018-09-01,0,0,38,22
2018-10-01,0,0,37,21
2018-11-01,0,0,40,22
2018-12-01,0.37,0,59,36
2018-13-01,1.67,2,61,19
2018-14-01,0,0,21,6
2018-15-01,0,0,18,5
2018-16-01,0.02,0.3,22,6
2018-17-01,0.17,2,26,9
2018-18-01,0,0,19,6
2018-19-01,0,0,28,14
2018-20-01,0,0,42,25
2018-21-01,0,0,47,38
2018-22-01,0.04,0,43,39
2018-23-01,0.13,0,50,39
2018-24-01,0.08,0,48,31
2018-25-01,0,0,31,20
2018-26-01,0,0,30,19
2018-27-01,0,0,42,19
2018-28-01,0.06,0,49,27
2018-29-01,0,0,46,27
2018-30-01,0.07,0.7,39,25
2018-31-01,0,0,25,13
2018-01-02,0,0,33,13
2018-02-02,0.01,0,46,17
2018-03-02,0,0,17,9
2018-04-02,0.03,0.4,31,10
2018-05-02,0.31,3,32,17
2018-06-02,0,0,24,16
2018-07-02,0.14,0.8,28,21
2018-08-02,0.62,2.4,33,15
2018-09-02,0,0.1,24,12
2018-10-02,0.03,0.4,35,15
2018-11-02,0.19,0,43,32
2018-12-02,0.17,0,45,31
2018-13-02,0,0,39,19
2018-14-02,0,0,37,20
2018-15-02,0.29,0,46,34
2018-16-02,1.17,0,64,40
2018-17-02,0.09,0,49,22
2018-18-02,0.22,2.6,33,22
2018-19-02,0,0,40,29
2018-20-02,0.33,0,41,35
2018-21-02,0,0,72,35
2018-22-02,0.06,0,73,36
2018-23-02,0.83,0,38,34
2018-24-02,0.27,0,41,36
2018-25-02,1.07,0,44,40
2018-26-02,0.03,0,53,38
2018-27-02,0,0,51,29
2018-28-02,0,0,55,30
2018-01-03,0,0,64,33
2018-02-03,0.81,0.6,51,29
2018-03-03,0,0,34,29
2018-04-03,0,0,35,27
2018-05-03,0,0,41,22
2018-06-03,0,0,40,22
2018-07-03,0.09,0.8,37,25
2018-08-03,0.05,0,38,26
2018-09-03,0.05,0.6,31,25
2018-10-03,0,0,32,24
2018-11-03,0,0,36,20
2018-12-03,0,0,41,23
2018-13-03,0.03,0.3,35,26
2018-14-03,0,0,34,24
